date,volume,open,close,predictions
2024-07-22,5272,102.0,104.2,102.44412994384766
2024-07-23,8634,104.6,103.0,102.34857177734375
2024-07-24,5230,103.4,101.8,102.71427154541016
2024-07-25,7138,102.0,101.0,103.0671157836914
2024-07-26,6057,100.6,99.4,103.21211242675781
2024-07-29,14606,99.4,97.0,103.14348602294922
2024-07-30,18638,97.4,99.2,102.79269409179688
2024-07-31,3210,100.0,100.6,102.07696533203125
2024-08-01,5216,101.2,101.0,101.57524108886719
2024-08-02,2718,100.8,101.2,101.40199279785156
2024-08-05,6297,100.4,103.0,101.44098663330078
2024-08-06,40456,103.0,110.8,101.58776092529297
2024-08-07,12386,111.6,109.2,101.97577667236328
2024-08-08,9774,110.2,108.4,103.35829162597656
2024-08-09,1666,109.2,109.6,104.75440979003906
2024-08-12,7851,109.8,110.6,105.85493469238281
2024-08-13,7873,111.4,110.2,106.81261444091797
2024-08-14,2930,110.4,111.2,107.68737030029297
2024-08-15,1987,111.0,109.6,108.34947967529297
2024-08-16,59383,110.2,119.8,108.95284271240234
2024-08-19,24491,119.8,116.8,109.25145721435547
2024-08-20,11028,117.0,116.6,110.64237213134766
2024-08-21,9743,116.6,117.8,111.90776824951172
2024-08-22,9383,118.2,116.0,112.93052673339844
2024-08-23,25816,115.6,115.4,113.85723876953125
2024-08-26,6914,116.0,116.6,114.39275360107422
2024-08-27,8425,117.0,116.8,114.62967681884766
2024-08-28,23851,117.0,116.8,114.86910247802734
2024-08-29,5716,116.6,116.8,115.11084747314453
2024-08-30,23771,116.4,117.2,115.33409118652344
2024-09-02,20165,117.0,116.0,115.53231811523438
2024-09-03,19897,116.2,116.8,115.75431060791016
2024-09-04,77350,120.6,120.2,115.81826782226562
2024-09-05,96791,120.4,122.0,115.92021179199219
2024-09-06,78592,122.2,123.0,116.4482650756836
2024-09-09,50077,123.0,123.0,117.29812622070312
2024-09-10,22670,123.0,123.0,118.2835464477539
2024-09-11,19829,122.8,123.0,119.18247985839844
2024-09-12,18402,123.0,123.2,119.91629791259766
2024-09-13,5468,123.2,123.6,120.47651672363281
2024-09-16,16768,124.0,123.2,120.91112518310547
2024-09-17,17292,123.2,123.2,121.28424072265625
2024-09-18,16422,123.2,123.0,121.53387451171875
2024-09-19,20848,123.2,123.2,121.70562744140625
2024-09-20,13303,123.2,123.6,121.80408477783203
2024-09-23,9064,123.2,123.2,121.89232635498047
2024-09-24,6256,123.4,123.0,122.02102661132812
2024-09-25,17603,123.2,123.8,122.10586547851562
2024-09-26,5121,123.6,123.6,122.14505004882812
2024-09-27,5147,123.6,123.8,122.26558685302734
